           year        tco2               alk        d13Cocn        pCO2           d13Catm         CO3           WeatC          WeatS         TotW           BurC            Degas            Tatm           Tocn
     -950.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -900.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -850.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -800.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -750.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -700.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -650.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -600.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -550.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -500.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -450.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -400.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -350.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -300.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -250.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -200.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -150.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -100.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
      -50.00000        2.48073        2.18057        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
        0.00000        2.48118        2.19113       -0.10008      697.26990      -14.77833      239.77129       12.08158       10.80090       22.88249       17.44282        7.50000       19.39313        5.11019
